date,conditional_volatility,regime
2013-08-09,0.5950312630613105,low
2013-08-12,0.6029024856430147,low
2013-08-13,0.5912721791854376,low
2013-08-14,0.5778324214920527,low
2013-08-15,0.6098823081466173,low
2013-08-16,0.8558929417093336,medium
2013-08-19,0.8345081741703163,medium
2013-08-20,0.8420598200695544,medium
2013-08-21,0.8083058948137921,medium
2013-08-22,0.8174271786075817,medium
2013-08-23,0.7855118833831625,medium
2013-08-26,0.7560175457827013,medium
2013-08-27,0.7506983374539894,medium
2013-08-28,0.9956523462037565,medium
2013-08-29,0.950901190183947,medium
2013-08-30,0.9092824059236608,medium
2013-09-03,0.8823549255748754,medium
2013-09-04,0.845643494726757,medium
2013-09-05,0.8116240983447435,medium
2013-09-06,0.7801456302605364,medium
2013-09-09,0.7510970511874091,medium
2013-09-10,0.7242679563656499,medium
2013-09-11,0.6995608252328321,low
2013-09-12,0.6768460819300539,low
2013-09-13,0.6734018949301579,low
2013-09-16,0.6528409621487572,low
2013-09-17,0.6340082530592615,low
2013-09-18,0.6167884443457918,low
2013-09-19,0.601070613638368,low
2013-09-20,0.5931865378833393,low
2013-09-23,0.6594515147696118,low
2013-09-24,0.6732405875206025,low
2013-09-25,0.6634538089076711,low
2013-09-26,0.6557522370697056,low
2013-09-27,0.6366728155333288,low
2013-09-30,0.645253173608475,low
2013-10-01,0.6804617974740846,low
2013-10-02,0.6593148152325339,low
2013-10-03,0.6410346359936641,low
2013-10-04,0.7348924080197855,medium
2013-10-07,0.7093400336888717,low
2013-10-08,0.7789642666177675,medium
2013-10-09,0.919630726502514,medium
2013-10-10,0.8802329091702079,medium
2013-10-11,0.8436757789984807,medium
2013-10-14,0.8098020852208203,medium
2013-10-15,0.7784610692957639,medium
2013-10-16,0.8103614056768474,medium
2013-10-17,0.7789781793932508,medium
2013-10-18,0.7499852716686051,medium
2013-10-21,0.7232433057219717,medium
2013-10-22,0.6986403437460431,low
2013-10-23,0.6760005875387498,low
2013-10-24,0.6877373623062912,low
2013-10-25,0.6659901767286961,low
2013-10-28,0.6460484718406106,low
2013-10-29,0.6277940637474159,low
2013-10-30,0.6111131705494297,low
2013-10-31,0.6336228422238802,low
2013-11-01,0.6398508689738001,low
2013-11-04,0.6221274637344281,low
2013-11-05,0.6059410340977989,low
2013-11-06,0.6048414663107441,low
2013-11-07,0.5901821048297697,low
2013-11-08,0.8099198762610452,medium
2013-11-11,0.7785699698390417,medium
2013-11-12,0.7496084588928812,medium
2013-11-13,0.7311312242633564,medium
2013-11-14,0.7058773169419245,low
2013-11-15,0.6826495079389819,low
2013-11-18,0.6613216539293127,low
2013-11-19,0.6627778105827904,low
2013-11-20,0.6501729878169976,low
2013-11-21,0.6522352370645647,low
2013-11-22,0.6334539452441407,low
2013-11-25,0.6162820688359182,low
2013-11-26,0.6038730083528173,low
2013-11-27,0.5893084056477323,low
2013-11-29,0.5760467511128391,low
2013-12-02,0.5656025674766149,low
2013-12-03,0.5682532225518513,low
2013-12-04,0.575287174531832,low
2013-12-05,0.5669785625027972,low
2013-12-06,0.5882210099245307,low
2013-12-09,0.5750581546107784,low
2013-12-10,0.5631016175521919,low
2013-12-11,0.5706269132770171,low
